@RELATION tweets

@attribute class {N,M,MM,MMM}
@attribute text String

@DATA
M,'Minsalud confirmó 12 muertes por COVID-19 en el Valle del Cauca y 784 nuevos casos https://t.co/L7Ieqh47ei'
MM,'OMS, preocupado por la cifra de muertes por coronavirus en Colombia https://t.co/baraJxCMBs'
MMM,'Perder la vida por una bicicleta: el riesgo de pedalear en Bogotá ► https://t.co/gXcyIkdFR7 #NoMásCiclistasMuertos https://t.co/tJQ5oFmsWS'
N,'Se inicia apoyo psicosocial a mujeres víctimas de violencia sexual en Norte de Santander https://t.co/Zv97akXIr7'
M,'Se reportan 177 nuevas muertes por la pandemia en el país https://t.co/TvWTNNtUHr'
MMM,'Timochenko reconoció casos de violencia sexual contra indígenas y pidió perdón  https://t.co/smL9lkQifV'
MMM,'Un informe de la Alianza Colombiana por la Niñez alerta sobre un incremento en los casos de violencia contra los niños y niñas en sus hogares.  https://t.co/h6hpSjmHdy'
MMM,'Uno de los más recientes homicidios fue el de Juana Perea, la líder colombo - española conocida por haber sido defensora del medio ambiente. https://t.co/A6fxrlOfzD'
MM,'Usuarios de Transmilenio expresan su preocupación por aumento de inseguridad https://t.co/TUxDamSTDa'
MM,'RT @MovimientoMAIS: #LeTemoA un genocidio. 🌽\nDesde MAIS, nuestra presidenta @marthaperaltae y la representante a la Cámara @PizarroMariaJo…'
MM,'En entrevista con SEMANA, Ángela María Robledo, quien fue fórmula vicepresidencial de Gustavo Petro, dice que está cansada de los maltratos de un sector radical del petrismo. “Es violencia política”, señala. https://t.co/LEcTwhxXol'
M,'Duras críticas hicieron varios juristas al proyecto de unificación de los códigos civil y comercial. Aseguran que la reforma es inconveniente y generaría inseguridad jurídica. Un grupo de expertos adelantó un foro en la Universidad de La Sabana https://t.co/alcwgEp6SD https://t.co/cLc9zduCTV'
MMM,'Un fatal hecho de inseguridad ocurrió en la mañana de este jueves en el sistema Transmilenio de Bogotá. Un hombre fue asesinado tras recibir una herida con arma blanca dentro de un bus articulado en medio de un asalto. https://t.co/lHG3JMpt7q,'
MMM,'Una menor de un año resultó herida por una bala perdida en medio de un atraco en el barrio San Luis de Barranquilla. Vecinos aseguran que la inseguridad ronda este sector del sur occidente de la capital de Atlántico https://t.co/BXPS3y0hKi https://t.co/uUwZsxtPs1'
MMM,'Seis movimientos subversivos emergieron en Colombia durante los años 60 y 70, todos fueron actores de secuestro para su financiamiento. ¿Cómo afectó este crimen a la sociedad colombiana? #LaComisiónEscucha ➡️\nhttps://t.co/sd0qLY0az3 https://t.co/Pq1gDgZONW'
N,'Este 26 octubre la Comisión de la Verdad realizará el segundo Espacio de Escucha enfocado a conocer los relatos de personas que han vivido el flagelo del secuestro. En esta oportunidad, líderes políticos de diferentes regiones del país, contarán su ... https://t.co/lxjrcW0Cxb'
MM,'RT @lucianacadahia: ¿Por qué atentan contra la vida de los líderes de la Colombia Humana, UP o Mais? Por que ahí están las fuerzas del camb…'
MM,'La situación solo irá a peor, puesto que el cierre de negocios está condenando a miles de capitalinos a la desesperación y la miseria'
MM,'Dos expertos, César Restrepo y Jairo Delgado, conversaron con el Proyecto Migración Venezuela sobre la actuación de grupos criminales venezolanos en Colombia y la sensación de inseguridad de los colombianos. | Vía: @migravenezuela https://t.co/iia85ssbhJ'
MMM,'Se conoció rostro del presunto responsable del crimen de Oswaldo Muñoz. En otras noticias, habrá un nuevo paro en noviembre, ¿por qué? Además, el Gobierno respondió a la Alcaldía tras propuesta de deportar a venezolanos que delincan. #SemanaNoticias https://t.co/sBXRSiTgcs'
MM,'Crece inseguridad en Bogotá, nuevo paro en noviembre y más información de Colombia y el mundo en #SemanaNoticias https://t.co/MTwM1wMATC'
N,'La gobernadora de Oregón, Kate Brown, emitió este lunes una orden ejecutiva para que las fuerzas estatales asumieran el control de la policía de Portland, anulando una orden municipal que prohibía el uso de gas lacrimógeno. https://t.co/DbcVtpop0y'
MM,'El fiscal Barbosa dijo que en menos de 8 días de haber suscrito el Memorando de Entendimiento (MOU) con la Agencia U.S. Marshals, se realizaron varios operativos que permitieron impactar la criminalidad que afecta a Colombia y Estados Unidos. ⬇️ https://t.co/Ot35EwO68G'
MM,'Se fortalecerá la seguridad de Feliciano Valencia. El ministro de la Defensa, Carlos Holmes Trujillo se refirió al atentado contra el Senador, tras una reunión con él y el comandante de las Fuerzas Militares, el general Fernando Navarro ► https://t.co/qT0dMjlcCA https://t.co/QfYQxsWkrG'
N,'La gigante cadena de supermercados Walmart había tomado la decisión de retirar de sus estantes las armas y la munición, temiendo al riesgo de la continuación de posibles actos de violencia y saqueo por las elecciones en Estados Unidos. https://t.co/GWD2ZZjmA0'
MMM,'RT @AndresCamiloHR: Según nuestros registros en lo corrido del 2019 y lo que va del 2020, son más de 100 las personas que han sido amenizad…'
MMM,'Esta riña se suma a otros hechos de violencia e inseguridad en la capital del país. Habitantes del sector piden mayor presencia de las autoridades. https://t.co/o8yX8fEsks'
N,'La esperanza de hallar supervivientes se desvanecía este domingo en el oeste de Turquía, dos días después del poderoso terremoto que deja al menos 69 muertos. Más información, aquí ➡️ https://t.co/QjQaQVooqJ https://t.co/tvHEkLf7j3'
MMM,'Una camada de ratas cerca de los alimentos que se vendían la Plaza de las Flores, en Kennedy, la grave inseguridad que se vive en Bogotá y la brutal golpiza que le dieron estudiantes a otro menor de edad, entre las historias más impactantes de la semana➡️ https://t.co/PiinD70daE https://t.co/TnCeuqJvVI'
MMM,'RT @jciragorri: \Yo estoy muy preocupado por la seguridad y la vida de @petrogustavo. Ha sufrido muchas amenazas. Y le hago un llamado al p…'
MMM,'RT @CarolinaCorcho: Amenazaron al comité ejecutivo de Fecode, atentado a Senador indigena de la oposición  @FelicianoValen. Entre más sient…'
MMM,'RT @AlexLopezMaya: Repudio con total vehemencia el atentado en contra del Senador @FelicianoValen en el Cauca, la violencia y el absurdo no…'
N,'#ElPaísQueSoñamos | La hermana Ana Beatriz Acosta ha apoyado a más de 5 mil jóvenes de Pasto. Incentiva el emprendimiento en población vulnerable y víctimas de la violencia en Colombia. Está nominada en @titanescaracol. Vea esta y otras iniciativas en https://t.co/Jq4jL4x1oh https://t.co/vMmC5xVZAV'
MM,'#LoViEnNoticiasUno| #LoMásVisto| En audiencia en  Justicia y Paz, Salvatore Mancuso se llamó hijo legítimo del Estado y señaló que cada vez que habla de políticos poderosos involucrados en el conflicto lo presionan y persiguen con procesos judiciales\nhttps://t.co/psqFGM66ut'
MMM,'La violencia vuelve a sacudir al Chocó. En las últimas horas se confirmó el asesinado de Juana María Sofía Perea en Nuquí. La mujer colombo española era propietaria de un hotel en esta zona del departamento y era reconocida por la comunidad como una lideresa comunitaria https://t.co/oa9SrO7bPf'
N,'Aceneth Prado, una joven líder del Depto. de Caquetá, lo invita a conocer su historia de resiliencia ante el conflicto armado colombiano. Sea parte de estos relatos esperanzadores en #historiasParaCambiarLaHistoria \nhttps://t.co/ZHBmsMwwgJ\n@ComisionVerdadC @USAID_Colombia https://t.co/HkOzdULJiZ'
M,'RT @sindesenacol: #LaDerechaEs #LoPeorEnColombiaEs #CreoQueDuque \n\nEl modelo uribista tiene sumido a Colombia en el atraso, la violencia y…'
MM,'#LaComisiónEscucha | Este 30 de octubre, a las 10:00 a.m., representantes políticos víctimas de secuestro, relatarán sus historias en un Espacio de Escucha, organizado por la @ComisionVerdadC. Conéctese en redes sociales para participar.➡️ https://t.co/sd0qLY0az3 https://t.co/lD5PCHuNBP'
M,'Si Trump anuncia que en las elecciones existió fraude, es una invitación directa a la violencia”\n\nFernando Cepeda, Experto en Ciencias Políticas, profesor, ex embajador y Ex ministro. https://t.co/7ZQ09ojH10'
MMM,'RT @GralJuanRamirez: Ante información sobre un posible desplazamiento de familias por el accionar criminal de un grupo armado organizado en…'
N,'RT @GralJuanRamirez: De primera mano el señor @mindefensa, y la cúpula militar y policial, conocieron el trabajo de soldados y policías que…'
M,'Con visitas a los locales comerciales en la inspección de San Antonio de Getuchá en Milán, #Caquetá, explicándoles a los ciudadanos cómo obtener información por la línea 147, las tropas del Batallón Héroes del Guepí de la #Brigada12, buscan prevenir el secuestro y la extorsión. https://t.co/Pg473RzI8b'
M,'Con el fin de explicar la ruta de atención a través de la línea 147 para prevenir el secuestro y la extorsión, @GaulaMilitares llegaron al barrio Camilo Torres de Cartagena del Chairá en #Caquetá y realizaron campaña Yo no pago, yo denuncio. https://t.co/QGWOYSflsf'
M,'RT @Ejercito_CAAID: Tropas del Batallón Acción Integral N.° 6 y el Grupo de Caballería N.° 12 visitaron el sector comercial del municipio d…'
N,'En la inspección de Yurilla de Puerto Leguizamo, #Putumayo junto a Buanergers Rosero de la @gobputumayo, la @PoliciaDepuyy, la @UnidadVictimas y la @DefensoriaCol hablamos con la comunidad y establecimos que habrá presencia permanente de las tropas para garantizar su seguridad. https://t.co/agwMAWSj5G'
N,'Nuestras tropas son baluarte de la seguridad, por eso celebramos cumpleaños de los soldados en la base militar El Tigre en San Vicente del Caguán, #Caquetá del Batallón Cazadores de la #Brigada12. https://t.co/AN6BBRVRz9'
N,'Recibimos en Villagarzón, #Putumayo a @RafaGuarin, Consejero Presidencial para la Seguridad Nacional con el fin de analizar la lucha de las tropas de @COL_EJERCITO en este departamento contra los fenómenos criminales. https://t.co/YYFjgSeatI'
M,'#AEstaHora| con @RafaGuarin de la @SeguridadNalCo y Andrés López de la @alc_villagarzon, iniciamos análisis de situación de seguridad en los municipios del departamento del #Putumayo. https://t.co/SijAidmMqy'
M,'Acompañamos reconocimiento de @RafaGuarin de la @SeguridadNalCo a las Compañías de Seguridad de la Erradicación Manual de Cultivos Ilícitos de la @PoliciaColombia en la Base Antinarcóticos de Villagarzón, durante su visita al departamento del #Putumayo. https://t.co/CjQHpLoifS'
N,'Con @mujertejedora y la Oficina de la Mujer de Puerto Leguízamo, #Putumayo con el Batallón Juan Baustista Solarte de la #Brigada27, realizaron charla sobre prevención de violencia de género y la ruta atención dispuesta para atender posibles casos. https://t.co/H88fu6nv86'
N,'En la #Brigada27 en Mocoa, #Putumayo dimos a conocer a @RafaGuarin de la @SeguridadNalCo cómo enfrentan nuestros soldados, las amenazas a la seguridad y los fenómenos criminales. https://t.co/vXmbvZS3to'
